,city,name,location,price,discount,m2,bedrooms,bathrooms,insert_date
669,Madrid,Piso en venta en Calle Miosotis,"Tetuán, Valdeacederas, Madrid","220,000",0, 47, 1, 1,2023-10-15
670,Madrid,Piso en venta en Fuencarral,"La Paz, Madrid","499,999",0, 128, 4, 2,2023-10-15
671,Madrid,Piso en venta en Arganzuela,"Delicias - Embajadores, Madrid","260,000",0, 83, 3, 1,2023-10-15
672,Madrid,Piso en venta en Arganzuela,"Delicias - Embajadores, Madrid","350,000",0, 86,unknown, 2,2023-10-15
673,Madrid,Piso en venta en Paseo Federico Garcia Lorca,"Villa De Vallecas, Casco Histórico De Vallecas, Madrid","199,999",5, 93, 2, 1,2023-10-15
674,Madrid,Piso en venta en Tetuán,"Berruguete, Madrid","340,000",0, 114, 3, 1,2023-10-15
675,Madrid,Local comercial en venta en Fuencarral,"Pilar, Madrid","69,000",0, 60, 3,unknown,2023-10-15
676,Madrid,Piso en venta en Ciudad Lineal,"Ventas, Madrid","218,000",0, 83, 4, 1,2023-10-15
677,Madrid,Box/plaza de garaje en venta en Luis Salazar,"Chamartín, Prosperidad, Madrid","14,000",0, 10,unknown,unknown,2023-10-15
678,Madrid,Piso en venta en Tetuán,"Berruguete, Madrid","245,000",7, 79, 3, 1,2023-10-15
679,Madrid,Piso en venta en San Blas,"Canillejas, Madrid","180,000",0, 88, 3, 1,2023-10-15
680,Madrid,Piso en venta en Salamanca,"Fuente Del Berro, Madrid","650,000",0, 130, 4, 3,2023-10-15
681,Madrid,Piso en venta en Tetuán,"Cuzco - Castillejos, Madrid","220,000",0, 64, 2, 1,2023-10-15
682,Madrid,Piso en venta en Av. del General Perón,"Tetuán, Cuzco - Castillejos, Madrid","1,350,000",0, 310, 4, 3,2023-10-15
683,Madrid,Piso en venta en Usera,"Moscardo - Antonio Lopez, Madrid","110,000",0, 57, 3, 1,2023-10-15
684,Madrid,Piso en venta en Fuencarral,"Pilar, Madrid","219,000",7, 57, 2, 1,2023-10-15
685,Madrid,Piso en venta en Puente De Vallecas,"Palomeras - Portazgo, Madrid","179,000",0, 73, 3, 1,2023-10-15
686,Madrid,Piso en venta en Puente De Vallecas,"Numancia, Madrid","135,000",0, 65, 3, 1,2023-10-15
