Code,
#08566d,
#0a657f,
#0b7392,
#0d82a4,
#0e90b6,
#0f9ec8,
#11addb,
#12bbed,
#24c1ee,
#37c6f0,
#49cbf1,
#5bd0f2,
#6dd5f4,
#7fdbf5,
#92e0f7,
#a4e5f8,
#b6eaf9,
#c8effb,
#dbf5fc,
#edfafe,
#ffffff
